ID,이름,채력 회복(%),공격력,방어력,체력,아이템 기능,아이템 이미지
0,초록 열쇠,0,0,0,0,초록 문을 열 수 있는 열쇠,Item/Tilemap_DoorKey1
1,노랑 열쇠,0,0,0,0,노랑 문을 열 수 있는 열쇠,Item/Tilemap_DoorKey2
2,붉은 열쇠,0,0,0,0,붉은 문을 열 수 있는 열쇠,Item/Tilemap_DoorKey3
3,사과,20,0,0,0,20% 체력을 즉시 회복,Tilemap_Portion0
4,고기,30,0,0,0,30% 체력을 즉시 회복,Tilemap_Portion1
5,소형 물약,40,0,0,0,40% 체력을 즉시 회복,Tilemap_Portion2
6,중형 물약,50,0,0,0,50% 체력을 즉시 회복,Tilemap_Portion3
7,대형 물약,60,0,0,0,60% 체력을 즉시 회복,Tilemap_Portion4
8,축복 물약,100,0,0,0,100% 체력을 즉시 회복,Tilemap_Portion5
9,공격 룬,0,1,0,0,공격력 능력치 영구 증가,Tilemap_RuneATK
10,방어 룬,0,0,1,0,방어력 능력치 영구 증가,Tilemap_RuneDEF
11,체력 룬,0,0,0,5,체력 능력치 영구 증가,Tilemap_RuneHP
