ID,이름,분류,공격력,방어력,체력,공격속도,방어속도,치명타,치명공격력,이동속도,어빌리티 ID,장비 이미지,전투파티클_공격,전투파티클_피격,이름 ID,설명 ID
0,워프석 반지,4,0,0,0,0,0,0,0,0,1,Equip_Ring_00,-,-,4000,4001
1,레인저 부츠,5,0,0,0,0,0,0,0,0,2,Equip_Shoes_00,-,-,4002,4006
2,스피릿 윈드 부츠,5,0,0,0,0,0,0,0,0,3,Equip_Shoes_01,-,-,4003,4007
3,엔젤 윙 부츠,5,0,0,0,0,0,0,0,0,4,Equip_Shoes_02,-,-,4004,4008
4,타르타로스 부츠,5,0,0,0,0,0,0,0,0,5,Equip_Shoes_03,-,-,4005,4009
5,모래시계 목걸이,3,0,0,0,0,0,0,0,0,6,Equip_Necklace_00,-,-,4010,4014
6,에온의 고리,3,0,0,0,0,0,0,0,0,7,Equip_Necklace_01,-,-,4011,4015
7,키르케의 시계추,3,0,0,0,0,0,0,0,0,8,Equip_Necklace_02,-,-,4012,4016
8,크로노스의 시계,3,0,0,0,0,0,0,0,0,9,Equip_Necklace_03,-,-,4013,4017
9,블레이드,1,0,0,0,0,0,0,0,0,0,Equip_Sword_00,FX_WeaponSlash_00,FX_WeaponHit_11,4018,4029
10,에페스티온,1,0,0,0,0,0,0,0,0,0,Equip_Sword_01,FX_WeaponSlash_01,FX_WeaponHit_12,4019,4030
11,발레폰트,1,0,0,0,0,0,0,0,0,0,Equip_Sword_02,FX_WeaponSlash_02,FX_WeaponHit_13,4020,4031
12,루나리스,1,0,0,0,0,0,0,0,0,0,Equip_Sword_03,FX_WeaponSlash_03,FX_WeaponHit_14,4021,4032
13,드라코닉스,1,0,0,0,0,0,0,0,0,0,Equip_Sword_04,FX_WeaponSlash_04,FX_WeaponHit_15,4022,4033
14,아르칸디스,1,0,0,0,0,0,0,0,0,0,Equip_Sword_05,FX_WeaponSlash_05,FX_WeaponHit_16,4023,4034
15,엑스칼리버,1,0,0,0,0,0,0,0,0,0,Equip_Sword_06,FX_WeaponSlash_06,FX_WeaponHit_17,4024,4035
16,피닉시아,1,0,0,0,0,0,0,0,0,0,Equip_Sword_07,FX_WeaponSlash_07,FX_WeaponHit_18,4025,4036
17,라이타니온,1,0,0,0,0,0,0,0,0,0,Equip_Sword_08,FX_WeaponSlash_08,FX_WeaponHit_19,4026,4037
18,움브라노크스,1,0,0,0,0,0,0,0,0,0,Equip_Sword_09,FX_WeaponSlash_09,FX_WeaponHit_20,4027,4038
19,라그나브레이크,1,0,0,0,0,0,0,0,0,0,Equip_Sword_10,FX_WeaponSlash_10,FX_WeaponHit_21,4028,4039
20,헌터 실드,2,0,0,0,0,0,0,0,0,0,Equip_Shield_00,-,-,4040,4050
21,오크나이트 실드,2,0,0,0,0,0,0,0,0,0,Equip_Shield_01,-,-,4041,4051
22,아이언 월,2,0,0,0,0,0,0,0,0,0,Equip_Shield_02,-,-,4042,4052
23,에메랄드 실드,2,0,0,0,0,0,0,0,0,0,Equip_Shield_03,-,-,4043,4053
24,미스릴 실드,2,0,0,0,0,0,0,0,0,0,Equip_Shield_04,-,-,4044,4054
25,그리폰 실드,2,0,0,0,0,0,0,0,0,0,Equip_Shield_05,-,-,4045,4055
26,가디언 실드,2,0,0,0,0,0,0,0,0,0,Equip_Shield_06,-,-,4046,4056
27,트리톤 실드,2,0,0,0,0,0,0,0,0,0,Equip_Shield_07,-,-,4047,4057
28,쉐도우 실드,2,0,0,0,0,0,0,0,0,0,Equip_Shield_08,-,-,4048,4058
29,엘드리치 실드,2,0,0,0,0,0,0,0,0,0,Equip_Shield_09,-,-,4049,4059
30,몬스터 도감,6,0,0,0,0,0,0,0,0,0,Equip_Book_00,-,-,4060,4061
