ID,Illust_Left,Illust_Right,Script_ID,Event_Class,Event_Delay,이벤트 시작 정보,이벤트 설명
0,Illust_Adventurer_Panic,,100006,2,1.5,튜토리얼,튜토리얼 첫 대사
1,Illust_Adventurer_Question,,100007,0,1.5,"마검 오브젝트와 인터렉션 시, 발생",마검 이벤트 / 최초 만남 #1
2,Illust_Adventurer_Panic,,100008,1,1.5,,마검 이벤트 / 최초 만남 #2
3,,Illust_MagicalSword_Sleep,100009,1,1.5,,마검 이벤트 / 최초 만남 #3
4,Illust_Adventurer_Surprise,,100010,1,1.5,,마검 이벤트 / 최초 만남 #4
5,Illust_Adventurer_Surprise,,100011,1,1.5,,마검 이벤트 / 최초 만남 #5
6,,Illust_MagicalSword_Normal,100012,1,1.5,,마검 이벤트 / 최초 만남 #6
7,Illust_Adventurer_Normal,,100013,1,1.5,,마검 이벤트 / 최초 만남 #7
8,,Illust_MagicalSword_Bad,100014,1,1.5,,마검 이벤트 / 최초 만남 #8
9,Illust_Adventurer_Question,,100015,1,1.5,,마검 이벤트 / 최초 만남 #9
10,,Illust_MagicalSword_Normal,100016,1,1.5,,마검 이벤트 / 최초 만남 #10
11,Illust_Adventurer_Panic,,100017,1,1.5,,마검 이벤트 / 최초 만남 #11
12,,Illust_MagicalSword_Panic,100018,1,1.5,,마검 이벤트 / 최초 만남 #12
13,Illust_Adventurer_Normal,,100019,1,1.5,,마검 이벤트 / 최초 만남 #13
14,,Illust_MagicalSword_Bad,100020,1,1.5,,마검 이벤트 / 최초 만남 #14
15,Illust_Adventurer_Question,,100021,1,1.5,,마검 이벤트 / 최초 만남 #15
16,,Illust_MagicalSword_Question,100022,1,1.5,,마검 이벤트 / 최초 만남 #16
17,Illust_Adventurer_Normal,,100023,1,1.5,,마검 이벤트 / 최초 만남 #17
18,,Illust_MagicalSword_Bad,100024,1,1.5,,마검 이벤트 / 최초 만남 #18
19,Illust_Adventurer_Surprise,,100025,1,1.5,,마검 이벤트 / 최초 만남 #19
20,,Illust_MagicalSword_Normal,100026,1,1.5,,마검 이벤트 / 최초 만남 #20
21,Illust_Adventurer_Normal,,100027,1,1.5,,마검 이벤트 / 최초 만남 #21
22,,Illust_MagicalSword_Smile,100028,2,1.5,,마검 이벤트 / 최초 만남 #22
