ID,특성 이름,특성 효과,특성 이미지,특성 공격 FX,특성 ID,효과 설명 ID
0,없음,특성을 보유하지 않은 몬스터들,none,none,0,0
1,야수,HP10% 이하 시 MAX 체력의 40% 즉시 회복,image1,fx1,1,1
2,마법,모든 공격이 치명 공격 발동 / 치명타 스탯 0 / 개발 불필요할 수도?,image2,fx2,2,2
3,수호,전투 시작 시 방어 상태로 시작,image3,fx3,3,3
4,불사,일반 공격 피해를 20% 만 받음 / 치명 공격은 200% 로 받음,image4,fx4,4,4
5,검사,모든 공격이 2연 다단 히트로 발동,image5,fx5,5,5
6,거대,5회 공격 받으면 즉시 공격력의 20% 피해를 줌 / 일반 공격과 별개로 작동,image6,fx6,6,6
7,암살,은신 상태가 되어 일반 공격 피해를 입지않음 / 치명 공격을 입으면 은신 상태 해제,image7,fx7,7,7
8,갑옷,방어 게이지가 작동하지 않음 대신 방어력 만큼 체력을 대신하여 모든 피해를 흡수,image8,fx8,8,8
9,,,,,9,9
