ID,챕터,특성 ID,몹이름,공격력,방어력,체력,공격속도,방어속도,치명타,치명공격력,보상_경험치,보상 아이템,몬스터_대기,몬스터_공격,전투파티클_공격,전투파티클_피격,몬스터_그림자,몹 이름 ID,몹 설명 ID
0,0,0,라임 슬라임,5.0,0.0,25.0,1.0,0.1,99.0,200.0,10.0,0,Mob_C0_I000,Mob_C0_A000,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10000,20000
1,0,0,망고 슬라임,7.0,1.0,30.0,1.2,0.1,99.0,200.0,15.0,1,Mob_C0_I001,Mob_C0_A001,FX_WeaponSlash_00,FX_WeaponHit_15,Mob_Shadow_000,10001,20001
2,0,0,크로우,10.0,2.0,35.0,1.4,0.1,99.0,200.0,25.0,2,Mob_C0_I002,Mob_C0_A002,FX_WeaponSlash_00,FX_WeaponHit_16,Mob_Shadow_000,10002,20002
3,0,0,숲의 정령,20.0,0.0,45.0,0.7,0.5,99.0,200.0,35.0,3,Mob_C0_I003,Mob_C0_A003,FX_WeaponSlash_00,FX_WeaponHit_17,Mob_Shadow_000,10003,20003
4,0,0,야생 늑대,15.0,3.0,80.0,1.3,0.2,99.0,200.0,45.0,4,Mob_C0_I004,Mob_C0_A004,FX_WeaponSlash_00,FX_WeaponHit_18,Mob_Shadow_000,10004,20004
5,0,9,킹 슬라임,15.0,4.0,150.0,1.0,0.3,99.0,200.0,100.0,5,Boss_C0_I000,Boss_C0_A000,FX_WeaponSlash_00,FX_WeaponHit_18,Mob_Shadow_000,10005,20005
6,0,0,둔기 슬라임,35.0,3.0,50.0,0.7,0.1,99.0,200.0,35.0,5,Boss_C0_I001,Boss_C0_A001,FX_WeaponSlash_00,FX_WeaponHit_18,Mob_Shadow_000,10006,20006
7,0,0,단검 슬라임,20.0,0.0,30.0,2.5,0.1,99.0,200.0,35.0,5,Boss_C0_I002,Boss_C0_A002,FX_WeaponSlash_00,FX_WeaponHit_18,Mob_Shadow_000,10007,20007
8,0,0,방패 슬라임,10.0,10.0,100.0,0.5,0.8,99.0,200.0,35.0,5,Boss_C0_I003,Boss_C0_A003,FX_WeaponSlash_00,FX_WeaponHit_18,Mob_Shadow_000,10008,20008
9,1,0,,8.0,0.0,20.0,0.0,0.0,99.0,200.0,10.0,0,Mob_C1_I000,Mob_C1_A000,,,Mob_Shadow_000,0,0
10,1,0,,6.0,1.0,35.0,0.0,0.0,99.0,200.0,15.0,1,Mob_C1_I001,Mob_C1_A001,,,Mob_Shadow_000,0,0
11,1,0,,10.0,2.0,25.0,0.0,0.0,99.0,200.0,25.0,2,Mob_C1_I002,Mob_C1_A002,,,Mob_Shadow_000,0,0
12,1,0,,15.0,0.0,40.0,0.0,0.0,99.0,200.0,35.0,3,Mob_C1_I003,Mob_C1_A003,,,Mob_Shadow_000,0,0
13,1,0,,18.0,5.0,50.0,0.0,0.0,99.0,200.0,45.0,4,Mob_C1_I004,Mob_C1_A004,,,Mob_Shadow_000,0,0
14,1,0,,25.0,5.0,60.0,0.0,0.0,99.0,200.0,55.0,5,Mob_C1_I005,Mob_C1_A005,,,Mob_Shadow_000,0,0
15,1,0,,10.0,35.0,10.0,0.0,0.0,99.0,200.0,60.0,6,Mob_C1_I006,Mob_C1_A006,,,Mob_Shadow_000,0,0
16,1,0,,35.0,10.0,100.0,0.0,0.0,99.0,200.0,80.0,7,Mob_C1_I007,Mob_C1_A007,,,Mob_Shadow_000,0,0
105,0,0,이끼 늑대,11.0,5.0,117.0,0.98,0.1,99.0,200.0,27.0,-1,Mob_C0_I004,Mob_C0_A004,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10105,20105
106,0,0,이끼 고블린 창병,13.0,6.0,126.0,1.01,0.1,99.0,200.0,29.0,-1,Mob_C0_I005,Mob_C0_A005,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10106,20106
107,0,0,이끼 해골 전사,15.0,6.0,144.0,1.03,0.1,99.0,200.0,32.0,-1,Mob_C0_I006,Mob_C0_A006,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10107,20107
108,0,0,이끼 고블린 방패병,17.0,7.0,170.0,1.05,0.1,99.0,200.0,35.0,-1,Mob_C0_I007,Mob_C0_A007,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10108,20108
109,0,0,이끼 슬라임,19.0,7.0,190.0,1.07,0.1,99.0,200.0,38.0,-1,Mob_C0_I000,Mob_C0_A000,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10109,20109
110,0,0,이끼 슬라임,21.0,8.0,200.0,1.09,0.1,99.0,200.0,41.0,-1,Mob_C0_I001,Mob_C0_A001,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10110,20110
111,0,0,이끼 크로우,24.0,9.0,210.0,1.11,0.1,99.0,200.0,45.0,-1,Mob_C0_I002,Mob_C0_A002,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10111,20111
112,0,0,이끼 정령,26.0,9.0,230.0,1.13,0.1,99.0,200.0,49.0,-1,Mob_C0_I003,Mob_C0_A003,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10112,20112
113,0,0,이끼 늑대,28.0,10.0,240.0,1.15,0.1,99.0,200.0,53.0,-1,Mob_C0_I004,Mob_C0_A004,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10113,20113
114,0,0,이끼 고블린 창병,30.0,10.0,286.0,1.17,0.1,99.0,200.0,58.0,-1,Mob_C0_I005,Mob_C0_A005,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10114,20114
115,0,0,이끼 해골 전사,32.0,11.0,297.0,1.19,0.1,99.0,200.0,63.0,-1,Mob_C0_I006,Mob_C0_A006,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10115,20115
116,0,0,이끼 고블린 방패병,35.0,12.0,319.0,1.22,0.1,99.0,200.0,68.0,-1,Mob_C0_I007,Mob_C0_A007,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10116,20116
117,0,0,이끼 슬라임,38.0,13.0,341.0,1.24,0.1,99.0,200.0,74.0,-1,Mob_C0_I000,Mob_C0_A000,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10117,20117
118,0,0,이끼 슬라임,41.0,14.0,363.0,1.26,0.1,99.0,200.0,81.0,-1,Mob_C0_I001,Mob_C0_A001,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10118,20118
119,0,0,이끼 크로우,44.0,15.0,385.0,1.28,0.1,99.0,200.0,88.0,-1,Mob_C0_I002,Mob_C0_A002,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10119,20119
120,0,0,이끼 정령,47.0,15.0,456.0,1.3,0.1,99.0,200.0,96.0,-1,Mob_C0_I003,Mob_C0_A003,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10120,20120
300,0,0,이끼 낀 지하 묘소의 킹 슬라임,51.0,15.0,934.0,1.1,0.15,20.0,200.0,287.0,-1,Boss_C0_I000,Boss_C0_A000,FX_WeaponSlash_00,FX_WeaponHit_18,Mob_Shadow_000,10300,20300
121,1,0,수렁 슬라임,54.0,16.0,320.0,0.9,0.1,99.0,200.0,104.0,-1,Mob_C0_I000,Mob_C0_A000,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10121,20121
122,1,0,수렁 슬라임,57.0,17.0,378.0,0.92,0.1,99.0,200.0,114.0,-1,Mob_C0_I001,Mob_C0_A001,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10122,20122
123,1,0,수렁 크로우,59.0,18.0,396.0,0.94,0.1,99.0,200.0,124.0,-1,Mob_C0_I002,Mob_C0_A002,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10123,20123
124,1,0,수렁 정령,62.0,19.0,414.0,0.96,0.1,99.0,200.0,135.0,-1,Mob_C0_I003,Mob_C0_A003,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10124,20124
125,1,0,수렁 늑대,66.0,20.0,432.0,0.98,0.1,99.0,200.0,147.0,-1,Mob_C0_I004,Mob_C0_A004,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10125,20125
