Lv,NeedEXP,TotalExp,공격력,방어력,체력,공격속도,방어속도,치명타,치명공격력,이동속도
1,0,0,10.0,0.0,100.0,1.7,0.3,20.0,120.0,2.5
2,70,70,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
3,76,146,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
4,82,228,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
5,89,317,1.0,1.0,5.0,0.0,0.0,0.0,5.0,0.0
6,97,414,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
7,105,519,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
8,114,633,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
9,124,757,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
10,135,892,2.0,2.0,10.0,0.0,0.0,0.0,5.0,0.0
11,147,1039,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0
12,160,1199,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0
13,174,1373,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0
14,189,1562,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0
15,206,1768,2.0,2.0,10.0,0.0,0.0,0.0,5.0,0.0
16,224,1992,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0
17,244,2236,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0
18,265,2501,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0
19,288,2789,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0
20,313,3102,3.0,3.0,15.0,0.0,0.0,0.0,5.0,0.0
21,341,3443,3.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0
22,371,3814,3.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0
23,404,4218,3.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0
24,440,4658,3.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0
25,479,5137,3.0,3.0,15.0,0.0,0.0,0.0,5.0,0.0
26,522,5659,3.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0
27,568,6227,3.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0
28,619,6846,3.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0
29,674,7520,3.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0
30,734,8254,4.0,4.0,20.0,0.0,0.0,0.0,5.0,0.0
31,800,9054,4.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0
32,872,9926,4.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0
33,950,10876,4.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0
34,1035,11911,4.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0
35,1128,13039,4.0,4.0,20.0,0.0,0.0,0.0,5.0,0.0
36,1229,14268,4.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0
37,1339,15607,4.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0
38,1459,17066,4.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0
39,1590,18656,4.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0
40,1733,20389,5.0,5.0,25.0,0.0,0.0,0.0,5.0,0.0
41,1888,22277,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
42,2057,24334,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
43,2242,26576,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
44,2443,29019,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
45,2662,31681,5.0,5.0,25.0,0.0,0.0,0.0,5.0,0.0
46,2901,34582,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
47,3162,37744,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
48,3446,41190,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
