ID,Dungeon_ID,Type,Up_Stairs,Down_Stairs,Boss_Room,ATK_보정 (n),DEF_보정 (n),EXP_보정 (%),BGM,던전 이름_ID
0,00_000,Common,00_001,-,-,1,1,100,BGM_000,5000
1,00_001,Common,00_002,00_000,00_003,1,1,100,BGM_000,5001
2,00_002,Common,-,00_001,-,4,4,100,BGM_001,5002
3,00_003,Boss,00_004,-,-,1,1,200,BGM_002,5003
4,00_004,Common,00_005,00_003,-,1,1,100,BGM_000,5105
5,00_005,Common,00_006,00_004,-,1,1,100,BGM_000,5106
6,00_006,Common,00_007,00_005,-,1,1,100,BGM_000,5107
7,00_007,Common,00_008,00_006,-,1,1,100,BGM_000,5108
8,00_008,Common,00_009,00_007,-,1,1,100,BGM_000,5109
9,00_009,Common,00_010,00_008,-,1,1,100,BGM_000,5110
10,00_010,Common,00_011,00_009,-,1,1,100,BGM_000,5111
11,00_011,Common,00_012,00_010,-,1,1,100,BGM_000,5112
12,00_012,Common,00_013,00_011,-,1,1,100,BGM_000,5113
13,00_013,Common,00_014,00_012,-,1,1,100,BGM_000,5114
14,00_014,Common,00_015,00_013,-,1,1,100,BGM_000,5115
15,00_015,Common,00_016,00_014,-,1,1,100,BGM_000,5116
16,00_016,Common,00_017,00_015,-,1,1,100,BGM_000,5117
17,00_017,Common,00_018,00_016,-,1,1,100,BGM_000,5118
18,00_018,Common,00_019,00_017,-,1,1,100,BGM_000,5119
19,00_019,Boss,01_000,00_018,-,1,1,100,BGM_000,5120
20,01_000,Common,01_001,00_019,-,1,1,100,BGM_100,5121
21,01_001,Common,01_002,01_000,-,1,1,100,BGM_100,5122
22,01_002,Common,01_003,01_001,-,1,1,100,BGM_100,5123
23,01_003,Common,01_004,01_002,-,1,1,100,BGM_100,5124
24,01_004,Common,01_005,01_003,-,1,1,100,BGM_100,5125
25,01_005,Common,01_006,01_004,-,1,1,100,BGM_100,5126
26,01_006,Common,01_007,01_005,-,1,1,100,BGM_100,5127
27,01_007,Common,01_008,01_006,-,1,1,100,BGM_100,5128
28,01_008,Common,01_009,01_007,-,1,1,100,BGM_100,5129
29,01_009,Common,01_010,01_008,-,1,1,100,BGM_100,5130
30,01_010,Common,01_011,01_009,-,1,1,100,BGM_100,5131
31,01_011,Common,01_012,01_010,-,1,1,100,BGM_100,5132
32,01_012,Common,01_013,01_011,-,1,1,100,BGM_100,5133
33,01_013,Common,01_014,01_012,-,1,1,100,BGM_100,5134
34,01_014,Common,01_015,01_013,-,1,1,100,BGM_100,5135
35,01_015,Common,01_016,01_014,-,1,1,100,BGM_100,5136
36,01_016,Common,01_017,01_015,-,1,1,100,BGM_100,5137
37,01_017,Common,01_018,01_016,-,1,1,100,BGM_100,5138
38,01_018,Common,01_019,01_017,-,1,1,100,BGM_100,5139
39,01_019,Boss,02_000,01_018,-,1,1,100,BGM_100,5140
40,02_000,Common,02_001,01_019,-,1,1,100,BGM_001,5141
41,02_001,Common,02_002,02_000,-,1,1,100,BGM_001,5142
42,02_002,Common,02_003,02_001,-,1,1,100,BGM_001,5143
43,02_003,Common,02_004,02_002,-,1,1,100,BGM_001,5144
44,02_004,Common,02_005,02_003,-,1,1,100,BGM_001,5145
