0,0,0,0,0,0,W_01,I_03,W_02,W_02,W_02,W_01,W_02,W_02,W_01,W_01,W_01,W_02,W_01,W_01,W_02,W_02,W_01,W_01,W_02,W_02,W_01
W_01,W_01,W_02,W_02,W_02,W_01,W_01,M_1123,W_02,W_01,1,1,1,1,1,1,1,W_02,W_02,W_02,W_02,W_01,W_01,W_02,W_02,W_01,W_01
W_01,1,14,1,1,1,I_03,1,W_02,W_02,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01
W_02,1,1,1,1,1,1,1,I_10,1,1,1,1,1,1,1,1,W_02,W_01,1,1,1,11,1,1,1,W_01
W_02,1,1,1,1,1,1,1,W_02,W_01,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,15,W_01
W_02,W_02,W_01,W_01,W_01,W_01,W_02,W_01,W_02,W_01,1,1,1,1,1,1,1,W_02,W_02,W_02,W_01,W_01,1,W_02,W_01,W_02,W_01
W_01,W_02,W_02,W_02,W_02,W_02,W_01,W_01,W_02,W_02,W_02,W_02,W_02,5,W_02,W_02,W_01,W_02,W_02,W_01,W_01,W_01,1,W_02,W_02,W_01,W_02
W_02,W_02,W_01,W_02,W_01,W_02,W_01,W_01,W_02,W_02,W_02,W_02,W_01,1,W_01,W_01,W_01,W_01,W_02,W_02,W_01,W_01,M_1120,W_01,W_01,W_01,W_02
W_02,W_01,W_02,W_02,W_02,W_01,W_01,W_02,W_02,W_02,W_01,W_01,W_02,1,W_02,W_02,W_02,W_01,W_02,W_02,W_01,W_01,1,W_02,W_02,W_02,W_02
W_01,1,1,1,1,1,1,1,W_01,W_01,W_02,W_02,W_01,1,W_01,W_02,W_01,W_01,W_02,1,1,1,1,1,1,1,W_02
W_01,1,1,1,1,1,1,1,W_02,W_01,W_01,1,1,1,1,1,W_01,W_01,W_02,1,1,1,1,1,1,1,W_01
W_02,I_02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,W_01,W_01,W_01,1,1,1,1,1,1,1,W_01
W_01,1,1,1,1,1,1,1,W_02,W_02,W_02,1,1,1,I_03,1,W_02,W_02,W_02,1,1,1,1,1,1,1,W_01
W_02,1,1,1,1,1,1,1,W_02,W_01,W_01,W_01,W_02,W_02,W_02,W_02,W_02,W_01,W_02,1,1,1,1,I_00,1,1,W_01
W_02,W_02,W_01,W_02,4,W_02,W_01,W_01,W_02,W_01,W_01,W_01,W_02,W_01,W_02,W_02,W_02,W_02,W_01,W_01,W_02,W_01,1,W_02,W_02,W_02,W_01
W_02,W_02,W_01,W_01,1,W_01,W_01,W_01,W_02,W_01,W_02,W_02,W_02,W_01,W_02,W_01,W_01,W_01,W_02,W_01,W_01,W_01,M_1121,W_02,W_02,W_02,W_01
W_02,W_02,W_02,W_02,1,W_01,W_02,W_02,W_02,W_01,W_01,W_01,W_01,W_02,W_02,W_01,W_01,W_02,W_01,W_01,W_02,W_01,1,W_01,W_01,W_02,W_01
W_02,W_02,W_01,W_01,1,W_01,W_01,W_02,W_02,W_01,W_01,W_02,W_01,W_02,W_02,W_01,W_01,W_02,W_02,W_02,W_02,W_01,1,W_01,W_01,W_02,W_02
W_01,W_02,1,1,1,1,1,W_01,W_01,W_02,W_01,1,1,1,1,I_03,W_02,W_02,W_02,W_01,1,1,1,1,1,W_01,W_02
W_01,W_01,1,1,1,I_01,1,1,1,M_1122,1,1,1,M_1124,1,1,1,1,1,6,1,1,1,1,1,W_02,W_01
W_02,W_01,1,1,1,1,1,W_02,W_02,W_01,W_01,1,1,1,1,1,W_01,W_01,W_01,W_01,1,1,1,1,1,W_01,W_02
W_02,W_02,W_02,W_01,W_02,W_02,W_02,W_02,W_01,W_02,W_01,W_02,W_02,W_01,W_01,W_02,W_01,W_01,W_01,W_02,W_01,W_02,W_01,W_01,W_01,W_01,W_01
W_02,W_01,W_01,W_02,W_02,W_02,W_01,W_02,W_01,W_01,W_02,W_01,W_01,W_02,W_02,W_02,W_01,W_02,W_02,W_02,W_01,W_01,W_02,W_01,W_01,W_02,W_01
