0,0,0,0,0,0,0,0,0,0,W_03,W_03,W_02,W_02,W_02,W_03,W_03,W_03,W_02,I_03,W_03,W_03,W_03,W_03,W_02,W_02,W_03
W_02,W_02,W_03,W_02,W_03,W_03,W_03,W_03,W_02,W_03,W_03,1,1,1,1,1,W_02,W_02,W_03,M_1275,W_02,W_02,W_03,W_03,W_03,W_03,W_03
W_03,1,1,1,1,I_00,1,1,W_02,W_02,W_02,1,1,1,1,1,W_03,W_03,W_03,1,1,1,1,1,1,1,W_02
W_02,1,1,1,11,1,1,1,M_1272,1,1,1,1,1,1,1,1,1,M_1273,1,1,1,1,1,1,1,W_02
W_02,15,1,1,1,1,1,1,W_03,W_03,W_03,1,1,1,1,1,W_02,W_02,W_02,1,1,1,1,1,1,1,W_03
W_02,W_02,W_03,W_03,W_02,W_03,W_02,W_02,W_03,W_02,W_03,1,1,1,1,1,W_03,W_03,W_03,W_03,W_02,W_03,3,W_02,W_02,W_03,W_03
W_03,W_03,W_03,W_02,W_03,W_02,W_03,W_03,W_02,W_03,W_02,W_03,W_02,W_02,W_03,W_02,W_02,W_02,W_03,W_03,W_03,W_03,1,W_02,W_02,W_02,W_03
W_02,W_02,W_03,W_03,W_02,W_03,W_02,W_02,W_02,W_03,W_02,W_03,W_03,W_02,W_03,W_03,W_03,W_03,W_03,W_03,W_02,W_02,1,W_03,W_03,W_03,W_02
W_03,W_03,W_02,W_03,W_03,W_03,W_02,W_03,W_02,W_02,W_02,W_02,W_03,W_03,W_02,W_02,W_02,W_03,W_03,W_03,W_03,W_03,1,W_02,W_03,W_03,W_02
W_02,W_03,W_03,W_03,W_03,W_03,W_02,W_03,W_02,W_02,1,1,1,I_03,1,1,1,W_02,W_03,W_02,W_03,W_02,1,W_02,W_03,W_02,W_02
W_03,1,1,1,1,1,1,1,W_03,W_02,I_01,1,1,1,1,1,1,W_03,W_03,W_02,1,1,1,1,1,W_02,W_03
W_03,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,M_1274,1,1,1,1,1,M_1276,1,W_02,W_03
W_02,1,1,1,1,1,1,1,W_03,W_02,1,1,1,1,1,1,1,W_03,W_03,W_03,1,1,1,1,1,W_02,W_02
W_02,W_02,W_02,W_02,1,W_02,W_03,W_03,W_02,W_03,1,1,1,1,1,1,1,W_03,W_02,W_02,W_03,W_03,W_02,W_03,W_02,W_03,W_02
W_03,W_02,W_02,W_02,1,W_03,W_02,W_02,W_02,W_02,W_02,W_02,W_03,W_03,W_02,W_03,W_02,W_02,W_03,W_02,W_02,W_03,W_02,W_03,W_03,W_03,W_03
W_02,W_03,W_03,W_03,1,W_02,W_03,W_02,W_03,W_02,W_03,W_03,W_02,W_02,W_02,W_02,W_03,W_03,W_02,W_03,W_02,W_02,W_02,W_03,W_02,W_03,W_02
W_03,W_03,W_02,W_03,1,W_02,W_03,W_03,W_02,W_03,W_02,W_03,W_03,W_02,W_02,W_02,W_03,W_02,W_03,W_03,W_02,W_03,W_03,W_02,W_03,W_03,W_03
W_02,W_02,1,1,1,1,1,W_02,W_02,W_02,W_03,1,1,1,1,1,W_02,W_02,W_03,W_02,W_02,W_03,W_03,W_02,W_03,W_02,W_02
W_03,W_02,I_02,1,1,1,1,W_02,W_03,W_03,W_03,1,1,1,1,1,W_03,W_03,W_02,W_02,1,1,1,1,1,W_02,W_02
W_02,W_02,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,I_11,1,1,1,1,1,W_03,W_02
W_02,W_03,1,1,1,1,1,W_02,W_03,W_02,W_02,1,I_03,1,1,1,W_02,W_02,W_02,W_03,1,1,1,14,1,W_03,W_03
W_03,W_02,1,1,I_03,1,1,W_02,W_03,W_03,W_03,1,1,1,1,1,W_02,W_03,W_02,W_02,W_03,W_03,W_03,W_03,W_02,W_03,W_02
W_03,W_03,W_03,W_02,W_02,W_02,W_03,W_02,W_03,W_03,W_03,W_02,W_02,W_03,W_03,W_02,W_02,W_03,W_02,W_02,W_02,W_03,W_02,W_03,W_03,W_02,W_03
