0,0,0,0,0,0,0,0,0,0,W_03,W_03,W_01,W_01,W_03,W_03,W_01,W_03,W_01,W_01,W_01,W_03,W_01,W_03,W_01,W_03,W_03
W_03,W_03,W_01,W_01,W_01,W_01,W_01,W_03,W_03,W_03,W_03,1,1,1,1,1,W_03,W_01,W_03,1,1,1,1,1,1,1,W_01
W_03,1,1,1,1,14,1,1,W_01,W_03,W_01,1,1,1,1,1,W_03,W_03,W_01,1,1,1,1,1,1,1,W_01
W_01,1,1,1,1,1,1,1,W_01,W_03,W_01,1,1,1,1,1,1,M_1401,1,1,1,1,1,1,1,1,W_03
W_01,1,1,1,1,1,1,1,W_03,W_03,W_01,1,1,1,1,1,W_03,W_01,W_03,1,1,1,1,1,1,1,W_03
W_03,W_03,W_03,W_03,I_09,W_03,W_03,W_01,W_01,W_03,W_03,1,1,1,1,1,W_01,W_01,W_03,1,1,1,1,1,1,1,W_01
W_03,W_01,W_01,W_01,1,W_03,W_01,W_01,W_01,W_03,W_01,M_1403,W_01,1,W_01,W_03,W_01,W_03,W_03,W_03,W_03,W_01,1,W_01,W_03,W_03,W_03
W_01,W_01,W_03,W_03,1,W_01,W_03,W_01,W_03,W_01,W_03,I_03,W_01,1,W_03,W_03,W_01,W_03,W_03,W_03,W_03,W_03,3,W_03,W_01,W_01,W_01
W_03,W_01,W_01,W_01,1,W_01,W_03,W_01,W_03,W_01,W_03,W_01,W_01,M_1400,W_01,W_01,W_01,W_03,W_01,W_03,W_03,W_03,1,W_01,W_03,W_03,W_01
W_01,W_03,1,1,1,1,1,W_01,W_03,W_03,I_00,1,1,1,1,1,15,W_01,W_01,W_03,1,1,1,1,1,W_03,W_01
W_03,W_01,1,1,1,1,1,W_01,W_01,W_03,1,1,1,1,1,1,1,W_01,W_01,W_01,1,1,1,1,1,W_03,W_03
W_01,W_01,1,1,1,1,1,W_03,W_03,W_03,1,1,1,11,1,1,1,W_03,W_03,W_01,1,1,1,1,1,W_01,W_01
W_01,W_03,1,1,1,1,1,W_03,W_03,W_03,1,1,1,1,1,1,1,W_01,W_03,W_01,1,1,1,1,1,W_03,W_03
W_01,W_01,I_03,1,1,1,1,W_01,W_03,W_01,1,1,1,1,1,1,1,W_01,W_03,W_03,1,M_1404,1,1,1,W_03,W_01
W_03,W_01,W_03,W_03,1,W_03,W_03,W_03,W_03,W_03,W_01,W_01,W_01,W_03,W_01,W_03,W_01,W_01,W_01,W_03,W_01,W_03,1,W_03,W_03,W_01,W_03
W_01,W_03,W_03,W_03,5,W_01,W_01,W_03,W_01,W_01,W_01,W_03,W_03,W_01,W_03,W_01,W_01,W_03,W_03,W_03,W_03,W_03,M_1402,W_03,W_03,W_01,W_01
W_03,W_03,W_03,W_01,1,W_03,W_03,W_03,W_01,W_03,W_01,W_03,W_01,W_03,W_01,W_01,W_01,W_01,W_01,W_01,W_03,W_03,1,W_03,W_01,W_01,W_01
W_01,1,1,1,1,1,1,1,W_03,W_03,W_03,1,1,1,1,1,W_03,W_01,W_01,W_01,W_03,W_01,1,W_01,W_03,W_01,W_01
W_01,1,1,1,1,1,1,1,W_01,W_01,W_03,1,1,1,1,1,W_01,W_03,W_03,W_03,1,I_01,1,1,1,W_01,W_03
W_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,I_03,1,W_03,W_03
W_03,1,1,1,1,1,1,1,W_01,W_03,W_01,1,I_02,1,1,1,W_01,W_01,W_03,W_03,1,1,1,1,1,W_03,W_03
W_03,1,1,1,I_03,1,1,1,W_01,W_01,W_03,1,1,1,1,1,W_01,W_01,W_03,W_01,W_01,W_01,W_01,W_03,W_01,W_01,W_01
W_03,W_03,W_01,W_01,W_01,W_01,W_03,W_03,W_03,W_01,W_01,W_01,W_03,W_03,W_03,W_01,W_03,W_03,W_01,W_01,W_03,W_01,W_03,W_03,W_03,W_01,W_01
