0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W_01,I_03,W_03,W_03,W_03,W_03,W_03,W_03
0,W_01,W_01,W_01,W_01,W_03,W_03,W_01,W_03,W_03,W_03,W_03,W_03,W_03,W_01,W_01,W_01,W_03,W_01,W_01,M_1603,W_01,W_03,W_03,W_03,W_01,W_03
W_01,W_01,1,I_03,1,1,1,W_01,W_01,W_01,W_03,I_02,1,1,1,1,W_01,W_03,W_03,W_01,1,1,1,1,1,W_01,W_01
W_01,W_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,W_03,W_01
W_01,W_03,1,1,1,1,1,W_01,W_03,W_01,W_03,1,1,1,1,1,W_03,W_03,W_01,W_03,1,1,1,1,1,W_03,W_01
W_01,W_01,W_01,W_01,5,W_03,W_01,W_03,W_01,W_03,W_01,W_01,W_03,W_01,W_01,W_01,W_01,W_03,W_03,W_03,W_03,W_03,1,W_01,W_01,W_01,W_01
W_01,W_01,W_01,W_03,1,W_03,W_01,W_03,W_03,W_01,W_01,W_03,W_01,W_03,W_01,W_03,W_03,W_03,W_01,W_03,W_01,W_03,1,W_01,W_01,W_03,W_03
W_03,W_01,W_01,W_03,1,W_03,W_03,W_03,W_01,W_01,W_01,W_01,W_03,W_03,W_01,W_03,W_03,W_01,W_03,W_01,W_03,W_01,1,W_03,W_01,W_01,W_01
W_03,W_01,W_01,W_01,1,W_01,W_01,W_03,W_01,W_03,W_03,W_01,W_01,W_01,W_01,W_03,W_01,W_03,W_01,W_03,W_01,W_01,M_1602,W_01,W_03,W_03,W_03
W_03,W_01,1,1,1,1,1,W_03,W_01,W_01,1,1,1,1,1,1,1,W_03,W_01,W_03,1,1,1,1,M_1604,W_01,W_03
W_01,W_03,1,1,1,1,1,W_03,W_03,W_01,1,1,1,1,1,1,1,W_03,W_03,W_01,1,1,I_01,1,1,W_03,W_03
W_03,W_01,1,1,1,1,1,W_03,W_01,W_03,1,1,1,11,1,1,1,W_03,W_03,W_03,1,1,1,1,1,W_01,W_03
W_01,W_03,1,I_03,1,1,1,W_03,W_01,W_03,1,1,1,1,1,15,1,W_03,W_01,W_03,I_03,1,1,1,1,W_03,W_01
W_01,W_01,1,1,1,1,1,W_03,W_03,W_03,1,1,I_00,1,1,1,1,W_01,W_03,W_01,1,1,1,1,1,W_03,W_03
W_01,W_03,W_03,W_03,1,W_01,W_03,W_03,W_01,W_03,W_01,W_01,W_01,1,W_01,W_03,W_01,W_01,W_03,W_01,W_03,W_03,1,W_03,W_01,W_03,W_03
W_03,W_01,W_01,W_03,1,W_01,W_03,W_01,W_01,W_03,W_03,W_01,W_01,M_1600,W_03,W_01,W_01,W_01,W_03,W_03,W_03,W_03,3,W_03,W_01,W_03,W_03
W_03,W_03,W_01,W_01,1,W_01,W_03,W_03,W_03,W_03,W_01,W_03,W_03,1,W_03,W_03,W_03,W_01,W_01,W_03,W_03,W_01,1,W_03,W_01,W_03,W_01
W_03,W_01,W_01,W_03,I_10,W_01,W_03,W_03,W_01,W_01,W_01,W_03,W_03,1,W_01,W_03,W_01,W_01,W_03,W_03,W_01,W_03,1,W_01,W_01,W_01,W_03
W_01,W_01,14,1,1,1,1,W_03,W_01,W_01,1,1,1,1,1,1,1,W_03,W_03,W_01,1,1,1,1,1,W_01,W_01
W_03,W_01,1,1,1,1,1,W_01,W_01,W_01,1,1,1,1,1,1,1,1,M_1601,1,1,1,1,1,1,W_03,W_03
W_01,W_03,1,1,1,1,1,W_01,W_01,W_03,1,1,1,1,1,1,1,W_03,W_03,W_01,1,1,1,1,1,W_01,W_01
W_01,W_01,W_03,W_03,W_03,W_03,W_03,W_03,W_03,W_01,W_03,W_03,W_03,W_03,W_01,W_01,W_01,W_03,W_01,W_03,W_01,W_03,W_01,W_03,W_03,W_01,W_01
W_03,W_03,W_03,W_03,W_01,W_03,W_03,W_01,W_03,W_03,W_01,W_01,W_01,W_03,W_01,W_01,W_03,W_03,W_03,W_01,W_03,W_03,W_01,W_03,W_03,W_03,W_03
