0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W_02,W_02,W_01,W_01,W_02,W_02,W_01,W_02
W_01,W_01,W_02,W_01,W_01,W_02,W_01,W_02,W_02,W_02,W_02,W_01,W_01,W_01,W_01,W_02,W_01,W_02,W_01,W_02,1,1,1,1,1,W_02,W_02
W_01,1,1,1,1,1,1,1,W_02,W_01,1,1,1,1,1,1,1,W_01,W_01,W_02,1,1,1,1,1,W_02,W_01
W_01,1,1,1,1,1,1,1,I_09,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,W_02,W_01
W_02,1,1,1,1,14,1,1,W_01,W_01,I_03,1,1,1,1,1,1,W_01,W_02,W_01,1,1,1,1,1,W_01,W_02
W_02,W_02,W_02,W_02,W_01,W_01,W_01,W_02,W_02,W_02,W_01,W_01,W_02,W_01,W_01,W_02,W_02,W_01,W_01,W_02,1,I_02,1,1,1,W_02,W_02
W_02,W_01,W_02,W_01,W_02,W_02,W_02,W_01,W_01,W_01,W_02,W_01,W_01,W_02,W_01,W_02,W_01,W_01,W_02,W_02,W_01,W_02,1,W_01,W_01,W_01,W_01
W_02,W_01,W_02,W_02,W_02,W_01,W_01,W_01,W_01,W_01,W_01,W_02,W_01,W_01,W_01,W_02,W_02,W_02,W_02,W_02,W_01,W_02,1,W_02,W_01,W_02,W_01
W_01,W_01,W_02,W_02,W_02,W_02,W_02,W_01,W_02,W_01,W_02,W_02,W_01,W_02,W_02,I_03,W_02,W_01,W_02,W_02,W_02,W_01,1,W_01,W_02,W_01,W_01
W_02,W_01,W_01,W_02,W_02,W_02,W_02,W_02,W_01,W_02,W_01,W_02,W_01,W_02,W_01,M_1691,W_01,W_02,W_02,1,1,1,1,1,1,1,W_02
W_01,W_01,1,1,1,1,1,W_01,W_02,W_01,1,1,1,1,1,1,1,W_02,W_01,1,1,1,1,1,1,1,W_02
W_01,W_01,1,1,1,1,1,1,1,M_1689,1,1,1,1,1,1,1,W_01,W_02,1,1,1,1,1,1,1,W_01
W_01,W_01,1,1,1,1,1,W_01,W_02,W_02,1,1,1,I_00,1,1,1,W_02,W_01,1,1,1,1,1,1,1,W_02
W_02,W_02,W_02,W_01,1,W_02,W_02,W_02,W_02,W_01,W_02,W_02,W_01,1,W_02,W_01,W_01,W_01,W_02,1,1,1,1,1,1,1,W_01
W_02,W_02,W_01,W_01,1,W_02,W_02,W_02,W_01,W_02,W_02,W_02,W_02,3,W_02,W_02,W_01,W_01,W_02,W_02,W_01,W_01,1,W_01,W_02,W_01,W_01
W_02,W_02,W_01,W_01,M_1688,W_02,W_01,W_01,W_01,W_01,W_02,W_01,W_01,1,W_02,W_01,W_02,W_02,W_02,W_02,W_02,W_02,1,W_01,W_02,W_02,W_01
W_01,W_01,W_02,W_01,1,W_02,W_02,W_02,W_02,W_02,W_02,W_02,W_01,1,W_01,W_01,W_02,W_01,W_02,W_01,W_01,W_02,4,W_02,W_01,W_01,W_01
W_02,1,1,1,1,1,1,1,W_01,W_02,W_01,W_02,W_02,1,W_01,W_02,W_02,W_02,W_02,W_02,W_01,W_01,1,W_02,W_02,W_01,W_01
W_01,1,1,1,1,1,1,1,W_02,W_01,1,1,1,1,1,1,1,W_02,W_01,1,1,1,1,1,1,1,W_01
W_01,1,1,1,11,1,1,1,W_02,W_02,1,1,1,1,1,1,1,M_1690,1,1,1,1,1,1,1,1,W_02
W_01,1,1,1,1,1,1,15,W_02,W_01,1,I_01,M_1692,1,1,1,1,W_01,W_01,1,1,1,1,1,1,I_03,W_02
W_02,1,1,1,1,1,1,1,W_01,W_02,W_02,W_01,W_02,W_02,W_01,W_02,W_02,W_01,W_01,W_02,W_02,W_01,W_02,W_01,W_02,W_02,W_01
W_01,W_01,W_02,W_01,W_02,W_02,W_01,W_02,W_01,W_01,W_01,W_02,W_01,W_02,W_01,W_01,W_02,W_02,W_02,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_02
